Date,MaxT,MinT,Pcpn,Snow,Snwg
11/7/2015,79,54,0,M,M
11/8/2015,77,47,0,M,M
11/9/2015,68,51,T,M,M
11/10/2015,66,45,0,M,M
11/11/2015,75,48,0,M,M
11/12/2015,77,45,0,M,M
11/13/2015,81,48,0,M,M
11/14/2015,79,45,0,M,M
11/15/2015,67,44,T,M,M
11/16/2015,60,48,0,M,M
11/17/2015,76,51,0,M,M
11/18/2015,85,46,0,M,M
11/19/2015,87,48,0,M,M
11/20/2015,88,55,0,M,M
11/21/2015,84,68,0,M,M
11/22/2015,83,56,0,M,M
11/23/2015,80,48,0,M,M
11/24/2015,68,47,0,M,M
11/25/2015,62,46,0,M,M
11/26/2015,62,43,0,M,M
11/27/2015,63,46,0,M,M
11/28/2015,62,41,0,M,M
11/29/2015,65,44,0,M,M
11/30/2015,66,39,0,M,M
12/1/2015,72,40,0,0,0
12/2/2015,76,42,0,0,0
12/3/2015,76,46,0,0,0
12/4/2015,68,44,0,0,0
12/5/2015,73,41,0,0,0
12/6/2015,80,47,0,M,0
12/7/2015,83,49,0,0,0
12/8/2015,87,60,0,0,0
12/9/2015,81,51,0,0,0
12/10/2015,66,47,0.02,M,0
12/11/2015,62,48,0.08,M,0
12/12/2015,64,51,0,0,0
12/13/2015,65,42,0.11,M,0
12/14/2015,55,44,0,0,0
12/15/2015,60,42,0,0,0
12/16/2015,63,41,0,0,0
12/17/2015,67,35,0,0,0
12/18/2015,71,39,0,0,0
12/19/2015,64,39,0.15,M,0
12/20/2015,60,43,0,0,0
12/21/2015,61,38,0.07,M,0
12/22/2015,59,52,0.15,0,0
12/23/2015,64,47,0,0,0
12/24/2015,61,41,0,0,0
12/25/2015,56,44,0,0,0
12/26/2015,60,40,0,0,0
12/27/2015,59,36,0,0,0
12/28/2015,55,31,T,M,0
12/29/2015,60,39,0,0,0
12/30/2015,62,33,0,0,0
12/31/2015,63,41,0,0,0
1/1/2016,60,45,0,0,0
1/2/2016,66,39,0,0,0
1/3/2016,61,39,0,0,0
1/4/2016,68,51,T,0,0
1/5/2016,57,46,1.31,M,0
1/6/2016,52,41,1.2,M,0
1/7/2016,57,44,0.37,M,0
1/8/2016,62,41,0,0,0
1/9/2016,58,41,0,0,0
1/10/2016,60,49,0.01,M,0
1/11/2016,65,51,0,0,0
1/12/2016,69,41,0,0,0
1/13/2016,66,39,0,0,0
1/14/2016,65,45,0,0,0
1/15/2016,65,46,0,0,0
1/16/2016,69,50,0,0,0
1/17/2016,72,47,0,0,0
1/18/2016,61,49,T,M,0
1/19/2016,62,48,0.09,M,0
1/20/2016,69,51,0,0,0
1/21/2016,74,47,0,0,0
1/22/2016,72,45,0,0,0
1/23/2016,65,49,0,0,0
1/24/2016,68,50,0,0,0
1/25/2016,72,53,0,0,0
1/26/2016,74,54,0,0,0
1/27/2016,72,47,0,0,0
1/28/2016,76,44,0,0,0
1/29/2016,80,50,0,0,0
1/30/2016,63,48,0,0,0
1/31/2016,59,45,0.39,M,0
2/1/2016,54,38,0,0,0
2/2/2016,62,41,0,0,0
2/3/2016,63,38,0,0,0
2/4/2016,67,40,0,0,0
2/5/2016,73,55,0,0,0
2/6/2016,76,57,0,0,0
2/7/2016,84,62,0,0,0
2/8/2016,85,61,0,0,0
2/9/2016,87,53,0,0,0
2/10/2016,87,51,0,0,0
2/11/2016,87,49,0,0,0
2/12/2016,87,48,0,0,0
2/13/2016,84,47,0,0,0
2/14/2016,85,66,0,0,0
2/15/2016,87,68,0,0,0
2/16/2016,89,55,0,0,0
2/17/2016,72,52,0.5,0,0
2/18/2016,68,53,0.06,0,0
